route_name,route_id,total_revenue_baseline,total_revenue_scenario_C,surge_revenue_gain,revenue_uplift_percent
Athi River-Makadara-Kitengela,50901011012,153186.30536301158,169050.12893145846,15863.823568446882,10.355901939702612
UN-New Muthaiga-Gachie-Gichagi,10200010811,82078.50678908837,97917.4505351581,15838.943746069737,19.29730981433423
Westlands-ABC Place-Lavington-Kawangware,80200004811,80274.54033127014,96081.57128390743,15807.030952637288,19.691213288056435
Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,50100001121,94602.35977578045,109858.78309982707,15256.423324046613,16.126895100932224
Racecourse Road-Ngong Road-KNH-Ngumo,70000203311,104585.80460473614,119595.42605015029,15009.621445414145,14.351490149299323
City Stadium-Nyayo Stadium,40101040501,121657.30732895502,136504.89068972258,14847.58336076756,12.204432012144135
Dagoretti Market-Uthiru-Kinoo-Wangige,70000010311,104740.73099856141,119489.75283298347,14749.021834422063,14.0814577994731
Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,20100012111,169274.87042569212,183840.18506655743,14565.314640865312,8.60453450901276
Roasters-Thome-Maruirui,20400005311,121053.01855783947,135617.1998608474,14564.181303007936,12.031241745573762
Ronald Ngala-Juja Road-Eastleigh-Rounda,30000046B11,138529.21631710127,152783.78424390338,14254.56792680212,10.289936163482368
Kencom-Community-KNH-Ngong Road-Ayani,70200003211,99911.02901169815,113758.78425690127,13847.755245203123,13.860086701320782
Railways-Ngong Road-Wanyee-Kaberia,70500004W11,119831.80424985106,133300.66849235442,13468.864242503361,11.239807601010982
Bus Station-Red Cross-Mugoya,50300012C11,120468.91445360187,133628.83257377267,13159.918120170798,10.923911931853
Town-Yaya-Congo-Kanungaga,60201005611,121652.00205811442,134429.19552718455,12777.193469070131,10.503068796982342
Gikomba-Kariokor-Ngara,30101000311,83970.69328358142,96731.63483554863,12760.941551967204,15.196899123926036
Koja-Westgate-Wangige,80000011911,86011.48821414137,98590.3163019472,12578.828087805829,14.624590678501608
Kencom-Valley Road-Yaya Centre-Kawangware,60200004611,89226.05620343913,101764.81306888297,12538.756865443836,14.052797354233551
Allsops-Rounda-Dandora,20807042011,67092.53296878334,79266.06944944794,12173.536480664596,18.14439840321526
Donholm-Caltex-Komarocks,4070519C211,60874.604844139794,73015.14580201755,12140.540957877754,19.94352322936924
Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,20801025A11,110123.30395865315,122058.9403329422,11935.636374289053,10.838429238165977
Koja-UN-Ruaka-Banana,10300106011,118632.34805811441,130333.94070108107,11701.592642966658,9.863745289130078
Bus Station-Nairobi West-TMall,50201014B11,121241.5478553822,132744.158015881,11502.610160498793,9.487350140249932
Ambassadeur-Donholm-Rounda-JKIA,40700003411,96603.89961763615,107893.24952482973,11289.34990719358,11.686225868601042
Kariobangi North - Thika road - Town,20101007700,106361.48925412791,117219.66131096428,10858.172056836367,10.208743910019066
Town-Kenyatta-Adams-Jamhuri,70301000511,150835.04504534358,161336.2070785477,10501.162033204135,6.962017368077364
Kaka-Westlands-Kangemi-Limuru,80000135011,49414.231551987745,59625.389456156554,10211.15790416881,20.664406960221267
Rounda-Umoja 2-Kayole,40705017A01,110683.72062743662,120702.13465792578,10018.414030489163,9.051388924854924
Ongata Rongai-Nkoroi-Kiserian,50205012601,85671.80030947003,95589.45266616346,9917.652356693434,11.57633237642743
Ngara-Rwaka-Ndenderu-Limuru,10000114011,139429.9786220842,149229.10354660323,9799.124924519041,7.027989978452859
Ruaka-Ruiru,10000107D11,92916.46679644167,102524.9914151903,9608.524618748634,10.341035286886955
Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,80000119A11,167130.08596544454,176690.4690591614,9560.383093716868,5.720324403885936
O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,20100010011,141563.6892332386,151003.5993479324,9439.910114693805,6.668313157013536
Kikuyu-Magu-Kingeero-Wangige,70000012911,172026.65742989435,181287.07554794278,9260.41811804843,5.383129717452255
Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,50206002411,78027.65973080797,87259.89197914941,9232.232248341446,11.831999421989902
Commercial-Mombasa Road-Taj Mall-Pipeline,50701003311,124071.43050955476,133277.29220105658,9205.861691501821,7.419807810463568
Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,30800001411,138685.2206538579,147679.4422113108,8994.221557452896,6.485349711416924
"Bypass Ruiru, City Cabanas",20104003910,81442.31060050399,90224.69636939678,8782.385768892796,10.783566556666981
Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,30100011C11,127967.35258181355,136670.19629345508,8702.84371164153,6.800831255829512
Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,20100100A11,74126.69159502213,82778.36449047153,8651.672895449403,11.67146773893035
Railways-Mombasa Road-Devki-Makadara,50901011011,130501.92683865152,138777.01311977286,8275.086281121345,6.340968659683011
Bus Station-Industrial Area-South B-Hazina,50100001111,90773.35264576983,98865.2013767917,8091.8487310218625,8.914343797126408
Kencom-Community-Equity Center-Kenyatta National Hospital,60101007C11,78465.40443901389,86433.30167114332,7967.897232129428,10.154662795783283
Eastleigh-Rounda-Dandora-Kayole,30600018C11,151049.43845345138,158889.2469981178,7839.808544666419,5.19022687203329
Odeon-Chiromo-Kileleshwa-Othaya Road,80101004811,172097.33539039132,179839.10060169816,7741.7652113068325,4.498480580042192
Commercial-Belleview-Imara Daima,50600003311,113637.48113530276,121370.79200549985,7733.310870197092,6.805246643041485
Odeon-Pangani-Roysambu-Githurai-KU,21100004411,73123.4621449067,80826.5213644078,7703.059219501098,10.534319619927407
City Stadium-Buruburu-Kwa Mbao-Dandora,40601003611,70533.66704282397,78187.42027505602,7653.753232232048,10.851205605948618
Yaya-Kasuku-Westlands,70904004810,111549.45142356755,119180.59134487262,7631.139921305075,6.841037606118439
Koja-Ngara-Banana-Limuru,10000116011,133062.01010835395,140240.9568653796,7178.946757025638,5.395188868092206
Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,4070500SK11,83929.4584678598,91069.59774015874,7140.13927229894,8.507310070436361
Ngumo-Highrise-Nairobi West-Couth C-South B,70101013301,78396.17066729182,85423.9907478535,7027.82008056168,8.964494082736877
Odeon-Chiromo-Westlands-Kangemi,80000002311,68552.95271040405,75527.51287106634,6974.560160662295,10.173974839750105
Githurai-Proggie,20000004513,174554.19691179163,181330.87503653945,6776.678124747821,3.8822773927185
Odeon-Chiromo-Westlands-ByPass-Yaya,80200048C11,130345.65703198272,136997.13070511923,6651.473673136512,5.102949975160622
Ambassadeur-Donholm-Jacaranda,40702034B11,115996.75221385292,122247.58396737077,6250.83175351785,5.388798939813199
Kencom-Valley Road-Ngong Road-Karen-Hardy,70201024C11,84490.2006930252,90583.90554440039,6093.704851375194,7.212321430641648
Bus Station-Rounda-Dandora-Kayole,30600186211,47114.91065894731,53187.34155078695,6072.430891839642,12.88855440222821
Gikomba-Rounda-Dandora,30007004111,102244.74293504014,108214.3485329348,5969.605597894668,5.838545265537396
Ngara-Westlands-Kangemi-Limuru,80000114011,83907.44030596291,89772.71472807211,5865.2744221092,6.99017202851364
Odeon-Aga Khan-Highridge,10100011A11,67749.30291662551,73614.4129820986,5865.1100654730835,8.65707809966824
Koja-Westlands-Kabete-Wangige,80100011811,108557.08338163845,114372.66109941692,5815.577717778462,5.357160985371609
Koja-Westlands-Kangemi-Limuru,80000115011,71252.2746206671,76823.58077494643,5571.306154279329,7.819127436899176
Railways-Ngong Road-Karen-Ngong,70400011111,105143.65310021087,110681.42810088384,5537.775000672977,5.26686569982023
Karen-Karinde-Dagoretti Market,70401000111,45077.66907390142,50598.51330429036,5520.844230388939,12.247403967001782
Town-Donholm-Njiru-Ruai,40705383911,102400.1951377602,107518.6878275726,5118.49268981241,4.998518492007209
Caltex Donholm-Jacaranda-Kayole,40702196112,60359.38416684476,65443.969149318815,5084.584982474058,8.423851655641986
OTC-Kariokor-Mlango-Rounda-Dandora,30907003211,68448.60475953067,73348.19097796845,4899.586218437777,7.158051264376672
Odeon-Pangani-Roysabu-Githurai-KU,20000004511,66997.35746181679,71850.35185397367,4852.994392156877,7.24356090450687
Bus Station-Nyayo Stadium-Wilson-Langata,50204001511,79054.50007432711,83825.56814362797,4771.068069300862,6.035163165683294
Railways-NgongRoad-Kawangware-Kikuyu,70600010211,70780.09162978594,75466.97228816464,4686.880658378708,6.621749916478432
Gikomba-Eastleigh-Huruma-Kariobangi,30800002811,108482.26871759315,112961.67917699931,4479.410459406165,4.12916369869366
Accra Road-Jogoo Road-Donholm-Fedha-Gate B,40701003311,83624.22561310428,88071.66104041736,4447.435427313074,5.318357682484944
Muthurwa-Hillocks-GM,40102040511,50772.37347094712,55018.285463602806,4245.911992655689,8.36264232375364
"Ambassadeur,Kabete,Kawangware",70805046P10,130401.77777507724,134558.51166832013,4156.7338932428975,3.18763590816424
Bus Station-Mombasa Road-Imara Daima-St.Bakhita,50600033A11,59447.10328314072,63434.552646766846,3987.449363626125,6.707558726006034
Torrents-Membley-Ruiru,20700145D01,29784.99688687243,33654.965872099456,3869.968985227024,12.99301457013981
Roysambu-Sunton-Kasarani-Mwiki,21200017B12,101002.30857188605,104711.04241219221,3708.7338403061585,3.6719297734333995
Railways-Ngong Road-Kibera,70200000811,69654.19129830884,73255.72072664122,3601.5294283323747,5.170585374982047
Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,40201002311,85505.68820926327,89011.47634309028,3505.788133827009,4.100064226425592
Bus Station-Pangani-Allsops-Ngumba,20901043011,66100.74566538075,69572.05239362994,3471.3067282491975,5.2515394392400045
Mama Lucy Hospital-Kayole-Njiru-Mwiki,40702002001,79705.68498658953,82949.87662737031,3244.191640780773,4.070213613152697
EastLeigh-Rounda-Umoja 2-Kayole,30600017A11,97631.86452182793,100740.2528512183,3108.388329390378,3.183784663556665
Rounda-Saika-Ruai,30603373812,80417.595469803,83479.82626102217,3062.2307912191754,3.8079114071112095
Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,20702000611,109119.1174450427,112022.60898444217,2903.4915393994597,2.6608458786901283
Muthurwa-Likoni-Sinai-Lunga Lunga,40301707111,38355.658251049674,41185.89300106211,2830.234750012438,7.378923681840301
Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,70100203411,63629.98377501602,66381.69391480325,2751.710139787232,4.324549491505098
Utawala-Ambassadeur,50700003311,98572.1234646281,101301.5385096045,2729.415044976413,2.76895226463884
Odeon-Westlands-Kangemi-Uthiru,80400003011,68178.57203211295,70501.28225974942,2322.710227636475,3.4068038657988464
Dagoretti Corner-Naivasha Road-Uthiru,70000000311,57346.97528914856,59534.9975730508,2188.022283902239,3.8154100942029383
Odeon-Chiromo-Strathmore School-Lavington,80100048A11,52162.253523513755,54240.80680120707,2078.553277693318,3.9847842784559635
Commercial-Cabanas-Baraka,50703033C11,53304.9481279602,55276.72129473136,1971.7731667711632,3.699043402195721
Cabanas-Utawala-Bypass,50700033H01,40741.15239422044,42507.44138326453,1766.288989044093,4.335392803701497
Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,80101048B11,101716.7558338363,103232.48018214383,1515.724348307529,1.4901422443944286
Odeon-UN-Ruaka,10300011F11,66643.92652317634,67972.55034830498,1328.6238251286413,1.9936157643211403
Town-Donholm-Umoja,40704356011,64125.19004755354,65449.412991102145,1324.2229435486079,2.0650588989546845
Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,80500010511,46720.645530154165,47923.1963422046,1202.5508120504383,2.573917372940181
Ambassadeur-Jogoo Road-Buruburu,40601005811,65320.81734689315,66419.24229174077,1098.4249448476185,1.681584813941191
Railways-Langata Road-Ongata Rongai-Kiserian,50205012611,52055.74663283161,52827.62156734613,771.8749345145188,1.4827852531994932
Town-Kariokor DC-Gikomba,30100000711,36146.087264688984,36713.44830219848,567.361037509494,1.569633341929508
Muthurwa-Donholm-Pipeline,40100003311,71610.73558792006,72078.26531715482,467.5297292347532,0.6528765909138633
Landhies Road-Jogoo Road-Jacaranda-Kayole,40702196111,8951.999328783178,8951.999328783178,0.0,0.0
Kencom-Valley Road-Hurlinghum-Yaya Centre,60000004611,18994.362662535652,18994.362662535652,0.0,0.0
Commercial-Cabanas-Tuskys-Village-Gate A-Posta,50702003311,36153.49386731516,36153.49386731516,0.0,0.0
