stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
0101HWO,Mwisho Road,-1.22267,36.781277,,
0101IAI,Gwaiti,-1.180601,36.726319,,
0101IGA,Kahigo,-1.203357,36.77131,,
0101ION,Junction To Limuru Town,-1.133245,36.643564,,
0101IRR,River,-1.221823,36.779866,,
0101JAK,Jakai,-1.219745,36.772222,,
0101JHS,Jamhuri High School,-1.27335,36.82297,,
0101JLI,Jua Kali,-1.211161,36.874486,,
0101KAT,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636,,
0101KCK,Kenchic,-1.132763,36.697946,,
0101KHR,Kahawa Railways Roundabout,-1.185664,36.906667,,
0101KKB,Kamukabi,-1.222324,36.780623,,
0101KME,Kimera Medical Centre,-1.146608,36.716753,,
0101KOB,Kobil/Banana,-1.17466,36.759053,,
0101KTO,Kwa Moturi/Gachiraini,-1.20202,36.7662,,
0101LIK,Likoni,-1.178733,36.760654,,
0101LMA,Mlanda,-1.219961,36.767389,,
0101LMC,Limuru Catering,-1.124567,36.679518,,
0101LSC,Life Sanctuary Church/Muchatha Shopping Centre,-1.19145,36.775071,,
0101MCC,Muchatha Shopping Centre,-1.192055,36.775879,,
0101MCY,Mothers Mercys,-1.180059,36.725487,,
0101MDS,Muchatha Dispensary/Kwa Shule/Yamongo Drive,-1.189723,36.773257,,
0101MIC,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190698,36.774211,,
0101MIM,Mimosa,-1.212005,36.804767,,
0101M.K,K.M.,-1.166178,36.919853,,
0101MKB,Mkulima Supermarket/Banana,-1.175287,36.759291,,
0101MOM,Mombasa,-1.177906,36.760269,,
0101MRB,Maramba Tea Factory,-1.134492,36.703458,,
0101MTH,Muthaiga Junction,-1.228633,36.798518,,
0101MUC,Redeemed/Pefa Muchatha,-1.197213,36.782874,,
0101NDJ,Ndenderu Junction/Makutano,-1.192266,36.743758,,
0101N'G,Kwa Ng'ang'a,-1.217757,36.778144,,
0101NGG,Nyari Gate 3,-1.225371,36.785596,,
0101NJK,Kwa Njoki Kamili,-1.184899,36.764492,,
0101NRE,Nish Raaj Estate,-1.25862,36.81484,,
0101NRP,Roundabout Eastern Bypass,-1.155165,36.926129,,
0101NTO,Kwa Kanisa ACK/National Oil,-1.193291,36.777536,,
0101NYG,Nyari Gate 2,-1.225544,36.791386,,
0101NYP,Nyari Police,-1.225594,36.787764,,
0101NYR,Nyari/Barrier 1,-1.226487,36.795583,,
0101OOO,Githogoro,-1.216517,36.825002,,
0101OTA,National Oil,-1.193821,36.749573,,
0101PMR,Pm Flats/ Runda View,-1.20429,36.77439,,
0101PMV,Pm Flats/ Runda View 2,-1.20369,36.77218,,
0101POW,Power,-1.217477,36.778214,,
0101RCC,Ruaka Catholic Church,-1.2062,36.78055,,
0101RCK,Ruaka ACK Church,-1.20676,36.78382,,
0101RDC,Ruaka DC,-1.2065,36.78171,,
0101RED,Red Hill/Posta,-1.17081,36.708554,,
0101REE,Runda Estate Entrance,-1.2186,36.80168,,
0101REN,Redeemed Ndenderu,-1.19238,36.74504,,
0101RIE,Limuru Diaries,-1.125841,36.642507,,
0101RIH,Commissioner of Higher Education,-1.227862,36.798065,,
0101RJI,Ruiru Road Junction,-1.152135,36.91984,,
0101RKJ,Ruaka Junction,-1.207096,36.785982,,
0101RMY,Rumenye,-1.19961,36.75794,,
0101ROK,Rosslyn Road/Karura Community Chapel,-1.2165,36.799307,,
0101ROR,Rosslyn Road/Riviera,-1.217251,36.800423,,
0101RSH,Roslyn Heights,-1.223669,36.782832,,
0101RUA,Marurui,-1.210806,36.875181,,
0101RUD,Runda Road,-1.215523,36.815038,,
0101SDA,SDA Church,-1.223143,36.781961,,
0101SHR,Shakers/Rosslyn Gate,-1.21115,36.79024,,
0101SHT,Sacred Heart,-1.186283,36.767421,,
0101SLT,Slaughter,-1.20523,36.77754,,
0101STP,Stima Plaza,-1.27043,36.82048,,
0101TIG,Tigoni,-1.126739,36.671944,,
0101VRY,Victory,-1.181719,36.762391,,
0101WBR,Wambugu Road,-1.26799,36.82127,,
0101WIA,Kwa Kuria,-1.2184,36.774652,,
0101WID,Windsor Advice,-1.215566,36.850327,,
0101YSA,Nyari West,-1.224194,36.783745,,
0101ZAK,Zakawa,-1.179181,36.760914,,
0102KHJ,Koja,-1.281428,36.822532,0,
0103MSQ,Kwa Mosque/Highridge Mwisho,-1.25687,36.81077,,
0110AAN,Oilibya/2nd Parklands Avenue,-1.2642,36.824691,,
0110ACG,Gachie,-1.181386,36.727555,,
0110AEA,Shell Banana,-1.175848,36.75953,,
0110AGK,Aga Khan Academy,-1.266405,36.823195,,
0110AIG,Gacharaini,-1.201715,36.764744,,
0110AOA,Mwambao,-1.256713,36.82633,,
0110AOH,Mama Shop,-1.151753,36.931196,,
0110APS,Aga Khan Hospital Stage,-1.26198,36.8227,,
0110APT,Aga Khan Hospital Stage 2,-1.26277,36.82467,,
0110ASP,Stima Plaza,-1.270037,36.820555,,
0110AST,Ambassadors Stage,-1.19864,36.75634,,
0110AUK,Karura,-1.247249,36.815776,,
0110BAA,Banana Terminus,-1.174235,36.758765,,
0110BDO,Boda,-1.210381,36.789584,,
0110BLV,6th Parklands Avenue/Regal House/Kobil,-1.257905,36.826896,,
0110BNI,Kobil banana,-1.174564,36.758993,,
0110BUK,Kabuku Junction Stage,-1.150767,36.668272,,
0110CEJ,Gacharage Junction,-1.20033,36.76062,,
0110COH,Gacharage Junction - Gachiraini Stage,-1.200471,36.760595,,
0110CUT,Karura Community Chapel,-1.215756,36.797816,,
0110DAS,Ridgeways Girls,-1.214993,36.864388,,
0110FRM,Muguku Farm,-1.17646,36.718384,,
0110FSA,Karura Forest/Belgian Embassy,-1.248371,36.816591,,
0110GAC,Gacharage,-1.192978,36.748079,,
0110GTH,Gathanga Stage/Kiambea,-1.198999,36.78444,,
0110HHH,JamhurI High,-1.272161,36.822256,,
0110HUN,5th parklands avenue,-1.260939,36.82585,,
0110IDR,City park drive,-1.257162,36.826563,,
0110ILU,Limuru Terminus,-1.108076,36.643393,,
0110IRT,Ngara,-1.27419,36.823659,0,
0110ISR,Ruiru Prisons,-1.151871,36.929525,,
0110KAU,Kianjogu Stage,-1.180979,36.727015,,
0110KGQ,Highridge/Kwa Mosque/Mwisho,-1.256852,36.810736,,
0110KKB,Garage,-1.222414,36.780964,,
0110KRS,Karura Stage,-1.19437,36.73198,,
0110KSL,Nish Raaj Estate/Kusi Lane,-1.25864,36.81485,,
0110LAR,Rosslyn Riviera,-1.215369,36.796681,,
0110LCM,Decimal,-1.203015,36.769993,,
0110LHL,Full Gospel Church,-1.151018,36.937462,,
0110LIG,Kobil Gigiri,-1.239216,36.811253,,
0110LJA,Joyland,-1.204861,36.77657,,
0110MKT,Makutano,-1.159421,36.74364,,
0110MTS,Muthaiga Shopping Centre,-1.250537,36.819842,,
0110MYA,City Park Market,-1.261573,36.825761,,
0110NGP,Ndenderu Redeemed Gospel,-1.19222,36.74442,,
0110NKT,Nakumatt Stage,-1.26018,36.81855,,
0110NSG,Ndenderu Stage,-1.1926,36.74685,,
0110OLB,Blue Kiosk,-1.154766,36.672943,,
0110OVL,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263241,36.825064,,
0110PBS,Bypass,-1.204484,36.785515,,
0110PMA,Stima Plaza,-1.269994,36.820604,,
0110PMT,Pm Flats,-1.20375,36.77257,,
0110/PU,UNEP/KTTC,-1.238447,36.810417,,
0110R/B,Belgian Embassy/Karura,-1.246905,36.815684,,
0110REU,Rwenu,-1.194506,36.735578,,
0110REV,Two Rivers,-1.212895,36.792424,,
0110RID,Windsor Advice,-1.215743,36.849936,,
0110RIS,Two Rivers,-1.211571,36.790791,,
0110RNO,Rossyln,-1.233918,36.802096,,
0110ROA,Wambugu Road,-1.268079,36.821239,,
0110ROS,Rosslyn Total,-1.210406,36.789731,,
0110RRS,Two Rivers,-1.214472,36.79486,,
0110RTC,Ruaka Quickmart,-1.20669,36.782358,,
0110RTU,Kobil/Regal house/6th Parklands ave,-1.25802,36.827046,,
0110SAI,Stima Plaza,-1.272612,36.821001,,
0110SIH,Gasolina/Gichagi Mwisho,-1.219559,36.766718,,
0110SOI,Mimosa,-1.212092,36.804714,,
0110SPU,St. Paul's University Limuru,-1.147694,36.665794,,
0110SRT,Marurui Police Post,-1.21464,36.867856,,
0110SSA,Canadian embassy,-1.241283,36.81334,,
0110TAA,Stima Plaza,-1.269752,36.820579,,
0110TOH,Githogoro,-1.216534,36.825391,,
0110TPA,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229,36.825078,,
0110TUQ,Equity,-1.205161,36.777734,,
0110TVM,Traveller's View Muchatha,-1.188491,36.771639,,
0110UMI,Mulima,-1.2204,36.76976,,
0110UMK,Mkulima supermarket,-1.175079,36.759251,,
0110UNA,UNEP/KTTC,-1.238033,36.80995,,
0110VKS,2nd Parklands Avenue,-1.264835,36.824412,,
0110VMT,Village Market,-1.23006,36.80399,,
0110WAM,Kwa Jeki,-1.194574,36.779445,,
0110WOJ,Maziwa Junction,-1.193992,36.904538,,
0110WRS,Two Rivers,-1.208242,36.797284,,
0110YIL,OiLibya/2nd Parklands Avenue,-1.264248,36.824681,,
0110YSP,City Park/5th Parklands Avenue,-1.261085,36.826027,,
01114IA,44 Githurai,-1.195441,36.902797,,
0111A26,Lane 26,-1.202558,36.768097,,
0111AAR,Ruaka,-1.207579,36.786271,,
0111ACP,Agha khan hospital junction/ 3rd parklands ave,-1.261895,36.825378,,
0111AES,Rosslyn Valley,-1.223201,36.802579,,
0111AIT,Muthaiga Mini Market,-1.250233,36.820788,,
0111AKA,Kwa Nyaga,-1.168399,36.696517,,
0111AKS,Aga Khan Hospital Stage,-1.26237,36.82369,,
0111ALA,Sahala,-1.206835,36.792778,,
0111AMB,Ambassadors Stage,-1.19859,36.75619,,
0111AMK,Kwa Mbao,-1.170485,36.705164,,
0111ARD,Kwa Daktari,-1.18467,36.732568,,
0111ATA,Total City Park,-1.259304,36.826738,,
0111AWM,Maziwa,-1.193209,36.905093,,
0111AXM,Maxx,-1.181895,36.728435,,
0111AYS,Gitambaya Police Post,-1.149768,36.948966,,
0111BAA,Banana Terminus,-1.174015,36.75884,,
0111BAG,ACK Thibigwa,-1.181043,36.762086,,
0111BEK,Belgian Embassy/Karura,-1.24701,36.8156,,
0111BPY,Bypass,-1.205771,36.779341,,
0111BUK,Kabuku Stage,-1.154742,36.674973,,
0111CEP,PCEA,-1.189026,36.737536,,
0111CNT,Container,-1.197222,36.899552,,
0111CRA,Car Wash,-1.217108,36.777061,,
0111EDH,The Dam,-1.170045,36.701237,,
0111EED,Ndenderu,-1.192217,36.743563,,
0111ENP,Dispenser,-1.190346,36.739048,,
0111EYE,Membley,-1.156393,36.925105,,
0111FRM,Muguku Farm/GD,-1.176554,36.718575,,
0111GIE,Sovereign,-1.169589,36.700159,,
0111GIM,Muthaiga Mini Market,-1.250151,36.820748,,
0111HDE,Shade,-1.193896,36.749592,,
0111HRT,Mothero,-1.166445,36.693617,,
0111IAC,Pa Machiri,-1.172894,36.712057,,
0111ICT,Quickmart,-1.206678,36.78331,,
0111IGA,Gacharaini,-1.201394,36.763483,,
0111IGK,Kobil Gigiri,-1.23923,36.811441,,
0111IME,Milele,-1.201036,36.76266,,
0111ISE,Site,-1.178182,36.722542,,
0111JEK,Kwa Njoki,-1.194099,36.778615,,
0111JM,JM,-1.188322,36.906381,,
0111KAN,Aga Khan,-1.262254,36.82537,,
0111KAU,Kianjogu Stage,-1.181209,36.727208,,
0111KEA,Kiambea,-1.198614,36.784122,,
0111KIV,Kibutu Stage/Bread of Life,-1.188314,36.771234,,
0111KNA,Kona,-1.220945,36.778584,,
0111KNE,Aga Khan Entrance,-1.261342,36.825842,,
0111KOG,Kobil Gigiri,-1.239407,36.811688,,
0111KRU,Karura/Runda,-1.22082,36.80136,,
0111LIS,Emsoil,-1.195988,36.752585,,
0111LON,Joyland,-1.204929,36.77661,,
0111LSO,Chantilly School,-1.180808,36.761912,,
0111MAO,Mwambao,-1.256382,36.826091,,
0111MCM,Mirai Court/Mifereji,-1.20322,36.77046,,
0111MIF,Mfereji,-1.203889,36.773032,,
0111MKT,Makutano,-1.159354,36.743484,,
0111MME,Muthaiga Mini Market,-1.250145,36.820786,,
0111MRE,Muthaiga Mini Market,-1.250199,36.82073,,
0111NDS,Ndenderu Stage/Shell,-1.19303,36.74802,,
0111NKM,Nakumatt/Post Office,-1.26012,36.81825,,
0111NMO,Ngomongo,-1.200253,36.894713,,
0111NOI,Kia Njogu,-1.183816,36.731283,,
0111NTA,Muthaiga Mini Market,-1.250145,36.820791,,
0111.OJ,O.J.,-1.153207,36.920352,,
0111OJC,Jowac,-1.193359,36.74875,,
0111OLB,OiLibya/2nd Parklands Avenue,-1.26469,36.82432,,
0111OLS,Total Rosslyn,-1.210559,36.789528,,
0111RAU,Quarry,-1.207044,36.882139,,
0111RHK,6th Parklands Avenue/Regal House/Kobil,-1.25777,36.82691,,
0111RHR,Redhill Road/Polish Embassy,-1.23453,36.803464,,
0111RNE,Rwenu,-1.193967,36.74329,,
0111RNI,Container,-1.204575,36.775392,,
0111ROT,Two Rivers,-1.214563,36.794822,,
0111RPS,Ruiru Prisons,-1.151827,36.929292,,
0111RRY,Fairy Flowers,-1.16489,36.691469,,
0111RST,Ruaka Stage/Tuskys,-1.207146,36.785877,,
0111SAR,Carwash,-1.200971,36.785177,,
0111SNH,Shell Banana,-1.175822,36.759492,,
0111SPS,Stima Plaza Stage,-1.2696,36.8204,,
0111SPU,St. Paul's University Limuru,-1.148257,36.666204,,
0111TNN,Aga Khan Entrance,-1.261438,36.825732,,
0111TOE,Two Rivers,-1.214559,36.794994,,
0111TRI,Little Servant,-1.186605,36.768223,,
0111TRV,Two Rivers,-1.21452,36.794608,,
0111TUN,UNEP/Gigiri/KTTC,-1.238682,36.810545,,
0111TVI,Kwa Viti,-1.186836,36.735044,,
0111.UK,K.U.,-1.174814,36.914304,,
0111UKG,Kwa Njogu,-1.192592,36.746556,,
0111USA,Kwa Sukuma,-1.178995,36.723889,,
0111VMA,Village Market,-1.22876,36.80443,,
0111VWS,Two Rivers,-1.208491,36.798073,,
0111WNA,Kwa Kiwanja,-1.170839,36.917032,,
0111WRB,Kwa Bendera,-1.169084,36.698467,,
0111YSB,Bypass,-1.204769,36.785477,,
0112LKT,Koja,-1.28127,36.822572,0,
0112POL,Junction/Poland Embassy,-1.234835,36.803782,,
0113BAA,Banana Terminus,-1.17383,36.758605,,
0113GCH,Gasolina/Gichagi Mwisho,-1.219641,36.766688,,
0113KAR,Karura Mwisho,-1.19435,36.73204,,
0113LMD,Limuru Terminus,-1.108043,36.643534,,
0113RST,Ruaka Stage,-1.20717,36.78571,,
02002IE,Riverside 2,-1.249605,36.877965,,
0200AAK,Kwa Wachina,-1.222994,36.907097,,
0200ACM,Mwisho wa Chuma,-1.163517,36.953181,,
0200AKN,Guru Nanak,-1.270182,36.832695,,
0200AKO,Mpaka road,-1.264947,36.804665,,
0200APZ,Stima Plaza,-1.269632,36.820722,,
0200AVS,Naivas,-1.247292,36.872478,,
0200BBC,Baba Dogo Catho,-1.244169,36.885073,,
0200BDJ,Baba Dogo Junction/Dawa,-1.247259,36.874387,,
0200BER,Redeemed Ndumberi,-1.152985,36.808673,,
0200BLN,Balkan Sec School,-1.21242,36.83392,,
0200BUL,Bull and Bush,-1.217508,36.897464,,
0200BWD,Kasarini/Paradise Lost,-1.205964,36.832137,,
0200CRN,Stima,-1.224013,36.908204,,
0200DAU,Mwandus,-1.161258,36.821215,,
0200DBR,Nduberi Factory,-1.140917,36.805701,,
0200DEC,Deliverance Church,-1.241361,36.894047,,
0200DMD,Diamond Flats,-1.20399,36.83301,,
0200DRU,Muslim Road,-1.275541,36.831273,,
0200EAC,Cinema,-1.252899,36.897224,,
0200EBR,Roundabout,-1.155163,36.926664,,
0200EEE,Redeemed Ngemwa,-1.117368,36.816173,,
0200EIE,Ridgeviews,-1.223405,36.837671,,
0200EII,Regional Centre/ICIPE,-1.220015,36.894015,,
0200ELH,Shell,-1.26756,36.830871,,
0200EMF,KEMREF,-1.241982,36.893257,,
0200EUT,Equity,-1.258005,36.878775,,
0200FHA,Faith Home Academy,-1.25305,36.878651,,
0200FRS,St. Francis,-1.226196,36.916057,,
0200GEG,Garage/Riverside,-1.249093,36.878052,,
0200GIT,Githurai,-1.204473,36.916804,,
0200GNA,Ngemwa,-1.122261,36.817718,,
0200GNK,Guru Nanak,-1.269522,36.832105,,
0200GPS,Ngemwa Police Post,-1.121695,36.818793,,
0200GRG,Garage,-1.231264,36.924453,,
0200GTO,Githogoro/Kigwa,-1.21866,36.83586,,
0200HHR,Shirika House,-1.273123,36.816209,,
0200HML,Garden City/Homeland Inn,-1.230479,36.879054,,
0200HTN,Hill stone,-1.252511,36.880036,,
0200HUN,Hunters,-1.227583,36.917981,,
0200IMI,Kamutiini,-1.230517,36.922989,,
0200IRR,Riverside,-1.248269,36.876651,,
0200JIN,Ikinu,-1.100941,36.797296,,
0200KAI,Kwa Kairu,-1.143339,36.966445,,
0200KAW,Kwa Maua,-1.121936,37.007157,,
0200KBM,Kariobangi Market Stage,-1.255259,36.878742,,
0200KCI,Kariobangi Junction,-1.25257,36.878952,,
0200KEI,KIE/Pioneer,-1.272531,36.827245,,
0200KEN,Kenafric,-1.24668,36.88436,,
0200KEP,Kenya Power,-1.242946,36.890851,,
0200KJN,Kirigiti/Ruui,-1.17895,36.83748,,
0200KS2,KIST,-1.1835,36.83854,,
0200KTJ,Junction,-1.152403,36.919994,,
0200KUF,KU Fly Over,-1.180681,36.939082,,
0200KWH,Bypass/Kwaheri Flyover,-1.215137,36.835012,,
0200LOK,Kobil/K1,-1.267608,36.812046,,
0200LPO,Allsops,-1.245715,36.868037,,
0200MAT,Maternity,-1.223112,36.911889,,
0200MBA,Mamba,-1.269103,36.841833,,
0200MBC,Membley Church,-1.159048,36.939119,,
0200MGN,2nd Mugumoini Street,-1.218457,36.874002,,
0200MNO,Makutano,-1.064306,36.783481,,
0200MOS,Mosque Side Ya Juu,-1.24068,36.89471,,
0200MRR,Marurui,-1.211112,36.874403,,
0200MSH,Mushroom,-1.19579,36.83836,,
0200MTE,Muthaiga Golf Club Entrance,-1.25774,36.84292,,
0200NEH,Neighbours,-1.227277,36.870709,,
0200NES,Corner,-1.217567,36.898027,,
0200NFR,Ngorofani,-1.225358,36.91485,,
0200NGN,Flyover Pangani,-1.266488,36.834632,,
0200NHL,Towngate Chapel,-1.154705,36.812568,,
0200NYT,Nyati Drive,-1.221369,36.872925,,
0200OIC,Ruaraka Police Post/Baba Dogo Catho,-1.244187,36.883794,,
0200OTO,JCL Motors,-1.235448,36.843684,,
0200RAW,Kware/Kahawa Sukari,-1.189077,36.931164,,
0200RDS,Ridgeway Springs,-1.228951,36.840543,,
0200RER,Riverside,-1.243933,36.880975,,
0200RGC,Regional/ICIPE,-1.220023,36.894127,,
0200RIE,Riverside,-1.246435,36.880119,,
0200RIL,Kona Kwa Rail,-1.208219,36.922329,,
0200RKN,Kona,-1.225876,36.874215,,
0200RND,Runda Junction,-1.22171,36.83606,,
0200ROC,Rock City,-1.23795,36.84398,,
0200RST,Roasters,-1.23336,36.872789,,
0200RTI,Itara,-1.185209,36.838832,,
0200RUK,Ruaraka Academy,-1.214869,36.876151,,
0200SAK,Samaki,-1.243773,36.878512,,
