time,temperature_c,rain,wind_speed,Super (PMS),Diesel (AGO),demand,demand_lag_1h,demand_lag_24h,demand_lag_168h
2024-01-04 04:00:00,15.5,0.0,4.3,180.66,168.06,74.1,73.7,75.8,
2024-01-04 05:00:00,18.3,0.0,4.9,180.66,168.06,78.1,74.1,79.5,
2024-01-04 06:00:00,20.6,0.0,4.2,180.66,168.06,79.0,78.1,90.2,
2024-01-04 07:00:00,22.8,0.0,5.6,180.66,168.06,84.0,79.0,89.5,
2024-01-04 08:00:00,24.4,0.0,7.7,180.66,168.06,89.8,84.0,93.4,
2024-01-04 09:00:00,25.3,0.1,8.6,180.66,168.06,93.5,89.8,93.6,
2024-01-04 10:00:00,25.9,0.0,7.6,180.66,168.06,91.1,93.5,92.7,
2024-01-04 11:00:00,26.6,0.0,7.4,180.66,168.06,91.4,91.1,100.3,
2024-01-04 12:00:00,26.9,0.0,9.1,180.66,168.06,95.1,91.4,91.2,
2024-01-04 13:00:00,25.8,0.0,9.2,180.66,168.06,94.2,95.1,97.7,
2024-01-04 14:00:00,25.0,0.0,12.5,180.66,168.06,100.0,94.2,91.0,
2024-01-04 15:00:00,23.0,0.0,12.6,180.66,168.06,98.2,100.0,95.5,
2024-01-04 16:00:00,20.9,0.0,9.5,180.66,168.06,89.9,98.2,94.6,
2024-01-04 17:00:00,20.0,0.0,10.0,180.66,168.06,90.0,89.9,91.0,
2024-01-04 18:00:00,19.1,0.0,8.5,180.66,168.06,86.1,90.0,94.7,
2024-01-04 19:00:00,18.4,0.0,6.6,180.66,168.06,81.6,86.1,88.4,
2024-01-04 20:00:00,17.4,0.0,9.7,180.66,168.06,86.8,81.6,81.6,
2024-01-04 21:00:00,16.6,0.0,5.0,180.66,168.06,76.6,86.8,75.6,
2024-01-04 22:00:00,16.0,0.0,5.0,180.66,168.06,76.0,76.6,74.2,
2024-01-04 23:00:00,15.8,0.0,3.9,180.66,168.06,73.6,76.0,74.5,
2024-01-05 00:00:00,15.6,0.0,4.7,180.66,168.06,75.0,73.6,77.7,
2024-01-05 01:00:00,16.9,0.0,4.0,180.66,168.06,74.9,75.0,75.0,
2024-01-05 02:00:00,16.1,0.0,4.6,180.66,168.06,75.3,74.9,74.2,
2024-01-05 03:00:00,16.0,0.0,4.4,180.66,168.06,74.8,75.3,73.7,
2024-01-05 04:00:00,16.9,0.1,6.5,180.66,168.06,80.9,74.8,74.1,
2024-01-05 05:00:00,17.6,0.1,3.7,180.66,168.06,76.0,80.9,78.1,
2024-01-05 06:00:00,18.4,0.0,2.3,180.66,168.06,73.0,76.0,79.0,
2024-01-05 07:00:00,19.9,0.1,4.4,180.66,168.06,79.7,73.0,84.0,
2024-01-05 08:00:00,22.0,0.0,2.6,180.66,168.06,77.2,79.7,89.8,
2024-01-05 09:00:00,23.0,0.0,4.3,180.66,168.06,81.6,77.2,93.5,
2024-01-05 10:00:00,25.4,0.0,3.9,180.66,168.06,83.19999999999999,81.6,91.1,
2024-01-05 11:00:00,26.2,0.0,1.5,180.66,168.06,79.2,83.19999999999999,91.4,
2024-01-05 12:00:00,26.1,0.1,7.3,180.66,168.06,91.7,79.2,95.1,
2024-01-05 13:00:00,20.5,2.9,2.5,180.66,168.06,104.5,91.7,94.2,
2024-01-05 14:00:00,20.6,0.4,6.3,180.66,168.06,87.2,104.5,100.0,
2024-01-05 15:00:00,20.0,0.1,5.8,180.66,168.06,82.6,87.2,98.2,
2024-01-05 16:00:00,19.0,0.0,4.8,180.66,168.06,78.6,82.6,89.9,
2024-01-05 17:00:00,17.1,2.1,6.6,180.66,168.06,101.3,78.6,90.0,
2024-01-05 18:00:00,17.4,0.2,3.6,180.66,168.06,76.6,101.3,86.1,
2024-01-05 19:00:00,17.0,0.0,2.3,180.66,168.06,71.6,76.6,81.6,
2024-01-05 20:00:00,16.3,1.5,9.1,180.66,168.06,99.5,71.6,86.8,
2024-01-05 21:00:00,16.5,0.1,6.0,180.66,168.06,79.5,99.5,76.6,
2024-01-05 22:00:00,15.9,1.0,7.4,180.66,168.06,90.7,79.5,76.0,
2024-01-05 23:00:00,16.2,0.2,5.4,180.66,168.06,79.0,90.7,73.6,
2024-01-06 00:00:00,15.9,0.0,4.8,180.66,168.06,75.5,79.0,75.0,
2024-01-06 01:00:00,16.1,0.0,3.4,180.66,168.06,72.9,75.5,74.9,
2024-01-06 02:00:00,16.1,0.0,4.5,180.66,168.06,75.1,72.9,75.3,
2024-01-06 03:00:00,15.8,0.0,4.7,180.66,168.06,75.2,75.1,74.8,
2024-01-06 04:00:00,16.1,0.0,4.5,180.66,168.06,75.1,75.2,80.9,
2024-01-06 05:00:00,17.8,0.0,4.8,180.66,168.06,77.4,75.1,76.0,
2024-01-06 06:00:00,19.2,0.0,3.7,180.66,168.06,76.6,77.4,73.0,
2024-01-06 07:00:00,20.6,0.0,4.8,180.66,168.06,80.2,76.6,79.7,
2024-01-06 08:00:00,22.4,0.0,3.7,180.66,168.06,79.8,80.2,77.2,
2024-01-06 09:00:00,24.1,0.0,4.4,180.66,168.06,82.9,79.8,81.6,
2024-01-06 10:00:00,25.9,0.0,5.4,180.66,168.06,86.7,82.9,83.19999999999999,
2024-01-06 11:00:00,25.9,0.0,7.1,180.66,168.06,90.1,86.7,79.2,
2024-01-06 12:00:00,25.3,0.0,10.6,180.66,168.06,96.5,90.1,91.7,
2024-01-06 13:00:00,24.9,0.0,3.8,180.66,168.06,82.5,96.5,104.5,
2024-01-06 14:00:00,22.4,0.1,12.6,180.66,168.06,98.6,82.5,87.2,
2024-01-06 15:00:00,21.8,0.0,8.4,180.66,168.06,88.6,98.6,82.6,
2024-01-06 16:00:00,20.0,0.0,4.8,180.66,168.06,79.6,88.6,78.6,
2024-01-06 17:00:00,19.2,0.0,4.7,180.66,168.06,78.6,79.6,101.3,
2024-01-06 18:00:00,18.4,0.0,5.7,180.66,168.06,79.8,78.6,76.6,
2024-01-06 19:00:00,18.7,0.0,4.0,180.66,168.06,76.7,79.8,71.6,
2024-01-06 20:00:00,18.5,0.0,4.2,180.66,168.06,76.9,76.7,99.5,
2024-01-06 21:00:00,17.9,0.3,8.9,180.66,168.06,88.7,76.9,79.5,
2024-01-06 22:00:00,17.1,0.0,11.0,180.66,168.06,89.1,88.7,90.7,
2024-01-06 23:00:00,16.7,0.7,7.9,180.66,168.06,89.5,89.1,79.0,
2024-01-07 00:00:00,16.4,1.6,7.9,180.66,168.06,98.2,89.5,75.5,
2024-01-07 01:00:00,15.9,5.3,5.6,180.66,168.06,130.10000000000002,98.2,72.9,
2024-01-07 02:00:00,16.0,1.4,4.1,180.66,168.06,88.2,130.10000000000002,75.1,
2024-01-07 03:00:00,16.1,0.2,1.6,180.66,168.06,71.3,88.2,75.2,
2024-01-07 04:00:00,16.0,0.1,3.3,180.66,168.06,73.6,71.3,75.1,
2024-01-07 05:00:00,17.1,0.0,3.3,180.66,168.06,73.7,73.6,77.4,
2024-01-07 06:00:00,18.0,0.0,3.4,180.66,168.06,74.8,73.7,76.6,
2024-01-07 07:00:00,19.9,0.0,10.2,180.66,168.06,90.3,74.8,80.2,
2024-01-07 08:00:00,21.9,0.1,14.5,180.66,168.06,101.9,90.3,79.8,
2024-01-07 09:00:00,23.6,0.0,12.5,180.66,168.06,98.6,101.9,82.9,
2024-01-07 10:00:00,24.2,0.0,10.7,180.66,168.06,95.6,98.6,86.7,
2024-01-07 11:00:00,24.4,0.1,9.9,180.66,168.06,95.2,95.6,90.1,
2024-01-07 12:00:00,24.6,0.1,9.5,180.66,168.06,94.6,95.2,96.5,
2024-01-07 13:00:00,23.4,0.0,10.2,180.66,168.06,93.8,94.6,82.5,
2024-01-07 14:00:00,23.3,0.0,10.5,180.66,168.06,94.3,93.8,98.6,
2024-01-07 15:00:00,22.4,0.0,10.9,180.66,168.06,94.2,94.3,88.6,
2024-01-07 16:00:00,20.1,0.0,8.1,180.66,168.06,86.3,94.2,79.6,
2024-01-07 17:00:00,19.0,0.0,9.0,180.66,168.06,87.0,86.3,78.6,
2024-01-07 18:00:00,18.6,0.0,8.8,180.66,168.06,86.2,87.0,79.8,
2024-01-07 19:00:00,17.7,0.0,5.2,180.66,168.06,78.1,86.2,76.7,
2024-01-07 20:00:00,17.0,0.0,5.4,180.66,168.06,77.8,78.1,76.9,
2024-01-07 21:00:00,16.5,0.0,5.8,180.66,168.06,78.1,77.8,88.7,
2024-01-07 22:00:00,16.2,0.0,7.9,180.66,168.06,82.0,78.1,89.1,
2024-01-07 23:00:00,16.0,0.0,8.7,180.66,168.06,83.4,82.0,89.5,
2024-01-08 00:00:00,15.4,0.0,6.5,180.66,168.06,78.4,83.4,98.2,74.6
2024-01-08 01:00:00,15.4,0.0,6.1,180.66,168.06,77.6,78.4,130.10000000000002,73.8
2024-01-08 02:00:00,16.1,0.0,6.5,180.66,168.06,79.1,77.6,88.2,78.2
2024-01-08 03:00:00,15.1,0.0,7.0,180.66,168.06,79.1,79.1,71.3,78.2
2024-01-08 04:00:00,15.7,0.0,9.5,180.66,168.06,84.7,79.1,73.6,75.2
2024-01-08 05:00:00,18.6,0.0,9.7,180.66,168.06,88.0,84.7,73.7,77.7
2024-01-08 06:00:00,20.6,0.0,17.1,180.66,168.06,104.80000000000001,88.0,74.8,85.7
2024-01-08 07:00:00,21.8,0.0,17.3,180.66,168.06,106.4,104.80000000000001,90.3,92.5
2024-01-08 08:00:00,22.1,0.0,14.2,180.66,168.06,100.5,106.4,101.9,98.3
2024-01-08 09:00:00,23.6,0.0,12.1,180.66,168.06,97.8,100.5,98.6,97.4
2024-01-08 10:00:00,24.4,0.0,12.5,180.66,168.06,99.4,97.8,95.6,101.1
2024-01-08 11:00:00,25.4,0.0,13.6,180.66,168.06,102.6,99.4,95.2,102.1
2024-01-08 12:00:00,25.2,0.1,14.1,180.66,168.06,104.4,102.6,94.6,102.9
2024-01-08 13:00:00,25.0,0.1,14.2,180.66,168.06,104.4,104.4,93.8,91.0
2024-01-08 14:00:00,23.9,0.1,15.8,180.66,168.06,106.5,104.4,94.3,99.5
2024-01-08 15:00:00,22.5,0.0,15.3,180.66,168.06,103.1,106.5,94.2,107.80000000000001
2024-01-08 16:00:00,20.5,0.0,9.8,180.66,168.06,90.1,103.1,86.3,92.4
2024-01-08 17:00:00,19.5,0.0,11.1,180.66,168.06,91.7,90.1,87.0,90.2
2024-01-08 18:00:00,18.5,0.0,9.3,180.66,168.06,87.1,91.7,86.2,84.3
2024-01-08 19:00:00,17.5,0.0,7.0,180.66,168.06,81.5,87.1,78.1,78.6
2024-01-08 20:00:00,17.2,0.0,8.3,180.66,168.06,83.8,81.5,77.8,83.5
2024-01-08 21:00:00,16.6,0.0,8.7,180.66,168.06,84.0,83.8,78.1,79.5
2024-01-08 22:00:00,16.0,0.1,7.8,180.66,168.06,82.6,84.0,82.0,79.6
2024-01-08 23:00:00,15.9,0.0,7.6,180.66,168.06,81.1,82.6,83.4,80.2
2024-01-09 00:00:00,15.8,0.0,8.3,180.66,168.06,82.4,81.1,78.4,76.9
2024-01-09 01:00:00,15.1,0.0,7.1,180.66,168.06,79.3,82.4,77.6,77.3
2024-01-09 02:00:00,14.7,0.0,6.6,180.66,168.06,77.9,79.3,79.1,75.4
2024-01-09 03:00:00,14.5,0.0,7.2,180.66,168.06,78.9,77.9,79.1,73.8
2024-01-09 04:00:00,14.9,0.0,8.8,180.66,168.06,82.5,78.9,84.7,77.6
2024-01-09 05:00:00,17.8,0.0,10.1,180.66,168.06,88.0,82.5,88.0,77.7
2024-01-09 06:00:00,19.9,0.0,17.7,180.66,168.06,105.3,88.0,104.80000000000001,80.7
2024-01-09 07:00:00,21.2,0.0,16.6,180.66,168.06,104.4,105.3,106.4,91.0
2024-01-09 08:00:00,22.8,0.0,14.0,180.66,168.06,100.8,104.4,100.5,98.9
2024-01-09 09:00:00,23.5,0.0,11.2,180.66,168.06,95.9,100.8,97.8,103.5
2024-01-09 10:00:00,24.8,0.0,9.7,180.66,168.06,94.2,95.9,99.4,101.8
2024-01-09 11:00:00,25.9,0.0,10.3,180.66,168.06,96.5,94.2,102.6,95.9
2024-01-09 12:00:00,25.6,0.1,13.5,180.66,168.06,103.6,96.5,104.4,94.2
2024-01-09 13:00:00,24.7,0.0,9.5,180.66,168.06,93.7,103.6,104.4,98.1
2024-01-09 14:00:00,23.8,0.1,11.8,180.66,168.06,98.4,93.7,106.5,100.3
2024-01-09 15:00:00,22.0,0.2,9.2,180.66,168.06,92.4,98.4,103.1,90.3
2024-01-09 16:00:00,20.3,0.0,10.2,180.66,168.06,90.7,92.4,90.1,88.0
2024-01-09 17:00:00,19.0,0.0,10.2,180.66,168.06,89.4,90.7,91.7,80.6
2024-01-09 18:00:00,18.2,0.0,9.2,180.66,168.06,86.6,89.4,87.1,92.4
2024-01-09 19:00:00,17.5,0.0,10.1,180.66,168.06,87.7,86.6,81.5,88.4
2024-01-09 20:00:00,17.0,0.0,9.9,180.66,168.06,86.8,87.7,83.8,87.7
2024-01-09 21:00:00,16.4,0.0,8.3,180.66,168.06,83.0,86.8,84.0,86.9
2024-01-09 22:00:00,16.1,0.0,10.1,180.66,168.06,86.3,83.0,82.6,81.6
2024-01-09 23:00:00,15.8,0.0,8.8,180.66,168.06,83.4,86.3,81.1,81.4
2024-01-10 00:00:00,15.9,0.0,7.5,180.66,168.06,80.9,83.4,82.4,84.6
2024-01-10 01:00:00,15.1,0.0,8.2,180.66,168.06,81.5,80.9,79.3,83.4
2024-01-10 02:00:00,15.1,0.0,7.6,180.66,168.06,80.3,81.5,77.9,84.8
2024-01-10 03:00:00,14.6,0.0,5.7,180.66,168.06,76.0,80.3,78.9,78.5
2024-01-10 04:00:00,15.1,0.0,4.9,180.66,168.06,74.9,76.0,82.5,75.8
2024-01-10 05:00:00,17.7,0.0,4.9,180.66,168.06,77.5,74.9,88.0,79.5
2024-01-10 06:00:00,19.5,0.0,7.7,180.66,168.06,84.9,77.5,105.3,90.2
2024-01-10 07:00:00,21.4,0.0,9.2,180.66,168.06,89.8,84.9,104.4,89.5
2024-01-10 08:00:00,22.7,0.0,11.2,180.66,168.06,95.1,89.8,100.8,93.4
2024-01-10 09:00:00,24.1,0.0,12.8,180.66,168.06,99.7,95.1,95.9,93.6
2024-01-10 10:00:00,24.6,0.2,11.2,180.66,168.06,99.0,99.7,94.2,92.7
2024-01-10 11:00:00,24.5,0.2,10.4,180.66,168.06,97.3,99.0,96.5,100.3
2024-01-10 12:00:00,24.6,0.3,12.7,180.66,168.06,103.0,97.3,103.6,91.2
2024-01-10 13:00:00,23.0,0.2,9.1,180.66,168.06,93.2,103.0,93.7,97.7
2024-01-10 14:00:00,21.2,1.1,6.8,180.66,168.06,95.80000000000001,93.2,98.4,91.0
2024-01-10 15:00:00,20.8,0.2,3.0,180.66,168.06,78.8,95.80000000000001,92.4,95.5
2024-01-10 16:00:00,19.3,0.2,4.0,180.66,168.06,79.3,78.8,90.7,94.6
2024-01-10 17:00:00,18.8,0.1,2.3,180.66,168.06,74.4,79.3,89.4,91.0
2024-01-10 18:00:00,17.2,0.0,3.1,180.66,168.06,73.4,74.4,86.6,94.7
2024-01-10 19:00:00,17.5,0.0,4.8,180.66,168.06,77.1,73.4,87.7,88.4
2024-01-10 20:00:00,16.4,0.0,4.7,180.66,168.06,75.8,77.1,86.8,81.6
2024-01-10 21:00:00,16.0,0.0,5.9,180.66,168.06,77.8,75.8,83.0,75.6
2024-01-10 22:00:00,15.2,0.0,4.7,180.66,168.06,74.6,77.8,86.3,74.2
2024-01-10 23:00:00,14.9,0.0,4.7,180.66,168.06,74.3,74.6,83.4,74.5
2024-01-11 00:00:00,15.4,0.0,6.2,180.66,168.06,77.8,74.3,80.9,77.7
2024-01-11 01:00:00,16.2,0.0,3.9,180.66,168.06,74.0,77.8,81.5,75.0
2024-01-11 02:00:00,15.2,0.0,4.6,180.66,168.06,74.4,74.0,80.3,74.2
2024-01-11 03:00:00,15.1,0.0,4.7,180.66,168.06,74.5,74.4,76.0,73.7
2024-01-11 04:00:00,15.6,0.0,3.4,180.66,168.06,72.4,74.5,74.9,74.1
2024-01-11 05:00:00,17.6,0.0,4.4,180.66,168.06,76.4,72.4,77.5,78.1
2024-01-11 06:00:00,19.0,0.0,5.2,180.66,168.06,79.4,76.4,84.9,79.0
2024-01-11 07:00:00,19.8,0.0,4.3,180.66,168.06,78.4,79.4,89.8,84.0
2024-01-11 08:00:00,22.0,0.0,2.4,180.66,168.06,76.8,78.4,95.1,89.8
2024-01-11 09:00:00,23.6,0.0,4.6,180.66,168.06,82.8,76.8,99.7,93.5
2024-01-11 10:00:00,25.3,0.0,6.3,180.66,168.06,87.9,82.8,99.0,91.1
2024-01-11 11:00:00,24.6,0.0,4.7,180.66,168.06,84.0,87.9,97.3,91.4
2024-01-11 12:00:00,22.5,1.0,12.3,180.66,168.06,107.1,84.0,103.0,95.1
2024-01-11 13:00:00,22.2,0.1,12.9,180.66,168.06,99.0,107.1,93.2,94.2
2024-01-11 14:00:00,21.5,0.1,6.9,180.66,168.06,86.3,99.0,95.80000000000001,100.0
2024-01-11 15:00:00,21.0,0.0,8.4,180.66,168.06,87.8,86.3,78.8,98.2
2024-01-11 16:00:00,18.8,0.0,4.8,180.66,168.06,78.4,87.8,79.3,89.9
2024-01-11 17:00:00,17.4,0.0,3.7,180.66,168.06,74.8,78.4,74.4,90.0
2024-01-11 18:00:00,17.4,0.0,3.6,180.66,168.06,74.6,74.8,73.4,86.1
2024-01-11 19:00:00,16.8,0.0,4.1,180.66,168.06,75.0,74.6,77.1,81.6
2024-01-11 20:00:00,16.1,0.2,6.8,180.66,168.06,81.7,75.0,75.8,86.8
2024-01-11 21:00:00,16.2,0.0,6.0,180.66,168.06,78.2,81.7,77.8,76.6
2024-01-11 22:00:00,16.5,0.0,6.1,180.66,168.06,78.7,78.2,74.6,76.0
2024-01-11 23:00:00,16.8,0.1,7.4,180.66,168.06,82.6,78.7,74.3,73.6
2024-01-12 00:00:00,16.4,0.0,8.2,180.66,168.06,82.8,82.6,77.8,75.0
2024-01-12 01:00:00,16.1,0.0,5.4,180.66,168.06,76.9,82.8,74.0,74.9
2024-01-12 02:00:00,15.9,0.0,5.1,180.66,168.06,76.1,76.9,74.4,75.3
2024-01-12 03:00:00,14.7,0.0,6.6,180.66,168.06,77.9,76.1,74.5,74.8
2024-01-12 04:00:00,16.0,0.0,3.3,180.66,168.06,72.6,77.9,72.4,80.9
2024-01-12 05:00:00,18.3,0.0,4.4,180.66,168.06,77.1,72.6,76.4,76.0
2024-01-12 06:00:00,19.5,0.0,2.4,180.66,168.06,74.3,77.1,79.4,73.0
2024-01-12 07:00:00,19.8,0.0,3.8,180.66,168.06,77.4,74.3,78.4,79.7
2024-01-12 08:00:00,20.9,0.0,4.8,180.66,168.06,80.5,77.4,76.8,77.2
2024-01-12 09:00:00,22.9,0.0,4.6,180.66,168.06,82.1,80.5,82.8,81.6
2024-01-12 10:00:00,23.5,0.0,5.1,180.66,168.06,83.7,82.1,87.9,83.19999999999999
2024-01-12 11:00:00,23.7,0.0,6.5,180.66,168.06,86.7,83.7,84.0,79.2
2024-01-12 12:00:00,24.9,0.0,6.6,180.66,168.06,88.1,86.7,107.1,91.7
2024-01-12 13:00:00,25.2,0.1,3.6,180.66,168.06,83.4,88.1,99.0,104.5
2024-01-12 14:00:00,23.3,0.3,7.2,180.66,168.06,90.7,83.4,86.3,87.2
2024-01-12 15:00:00,20.7,0.7,8.3,180.66,168.06,94.3,90.7,87.8,82.6
2024-01-12 16:00:00,19.1,0.0,5.6,180.66,168.06,80.3,94.3,78.4,78.6
2024-01-12 17:00:00,19.0,0.0,3.6,180.66,168.06,76.2,80.3,74.8,101.3
2024-01-12 18:00:00,17.8,0.0,2.9,180.66,168.06,73.6,76.2,74.6,76.6
2024-01-12 19:00:00,16.9,0.0,3.3,180.66,168.06,73.5,73.6,75.0,71.6
2024-01-12 20:00:00,16.4,0.1,4.1,180.66,168.06,75.6,73.5,81.7,99.5
2024-01-12 21:00:00,17.2,0.0,2.9,180.66,168.06,73.0,75.6,78.2,79.5
2024-01-12 22:00:00,15.6,0.0,3.6,180.66,168.06,72.8,73.0,78.7,90.7
2024-01-12 23:00:00,16.2,0.4,3.7,180.66,168.06,77.6,72.8,82.6,79.0
2024-01-13 00:00:00,16.5,1.3,1.3,180.66,168.06,82.1,77.6,82.8,75.5
2024-01-13 01:00:00,16.1,0.2,0.8,180.66,168.06,69.7,82.1,76.9,72.9
2024-01-13 02:00:00,16.0,0.1,2.8,180.66,168.06,72.6,69.7,76.1,75.1
2024-01-13 03:00:00,15.8,0.1,8.4,180.66,168.06,83.6,72.6,77.9,75.2
2024-01-13 04:00:00,15.4,0.0,8.7,180.66,168.06,82.8,83.6,72.6,75.1
